MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
230;11372;E Ablukhkurov;M;SBD;Single-ply;;Open;54.5;56;;;;;110;;;;;62.5;;;;;;;DQ;;
10098;129067;E Adams;M;SBD;Single-ply;;Boys;105.23;110;;;;;;;;;;117.93;;;;;165.56;283.5;8;169.28;169.28
3027;56932;E Bontekoning;M;SBD;Single-ply;27.5;Open;103.2;110;;;;;287.5;;;;;155;;;;;287.5;730;20;438.93;438.93
10407;133335;E Brandon Hill;M;SBD;Multi-ply;33;M-O;107.86;110;330;-350;;;330;62.5;-240;240;;240;150;185;215;;215;785;1;464.84;464.84
3139;61796;E Cesar;F;SBD;Single-ply;;Open;48;48;;;;;;;;;;;;;;;;;DQ;;
230;11361;E Garifullina;F;SBD;Single-ply;;Open;50.8;52;;;;;147.5;;;;;65;;;;;150;362.5;2;460.09;460.09
421;18334;E Graham;F;SBD;Single-ply;;Open;60;60;;;;;85;;;;;52.5;;;;;110;247.5;1;275.93;275.93
2331;33136;E Kreipavicius;M;SBD;Raw;;S;104;105;;;;;240;;;;;170;;;;;275;685;1;410.72;410.72
748;20095;E MacCorquondale;F;SBD;Single-ply;;Open;75;75;;;;;82.5;;;;;37.5;;;;;115.0;235.0;2;223.40;223.40
10407;133339;E Marshall Johnson;M;D;Raw;33;M-O;132.27;140;;;;;;;;;;;352.5;-382.5;-410;;352.5;352.5;1;198.77;198.77
10280;131517;E Muhammed;M;SBD;Single-ply;;Boys;89.81;90;;;;;163.29;;;;;108.86;;;;;188.24;460.4;9;294.23;294.23
226;11255;E Mukai;M;SBD;Single-ply;;Open;125;125;;;;;270;;;;;205;;;;;260;735;2;418.84;418.84
3136;61699;E Nunez;F;SBD;Single-ply;;Open;48;48;;;;;50;;;;;25;;;;;90;165;5;218.53;218.53
10407;133334;E Richard Hanson;M;SBD;Multi-ply;28;M-O;99.97;100;290;-300;-300;;290;175;-185;-185;;175;230;242.5;-250;;242.5;707.5;1;430.63;430.63
3056;58197;E Shami;F;SBD;Single-ply;22.5;Juniors;82.2;82.5;-135;-135;-135;;;65;72.5;-85;;72.5;120;-127.5;-127.5;;120;;DQ;;
203;8678;E Skril;M;SBD;Single-ply;62.5;Masters 3;87.8;90;150;-180;180;;180;80;-95;95;;95;140;160;;;160;435;3;281.31;281.31
1913;30932;E Zegermacher;M;SBD;Single-ply;23.5;;86.3;90;;;;;150;;;;;140;;;;;200;490;3;319.86;319.86
30;1249;E. Arnold;M;SBD;Single-ply;;;110;110;347.5;-360;-360;;347.5;-205;210;215;;215;302.5;315;-317.5;;315;877.5;2;516.40;516.40
3152;1249;E. Arnold;M;SBD;Single-ply;;Open;125;125;;;;;355;;;;;212.5;;;;;307.5;875;4;498.61;498.61
628;19487;E. Belliveau;M;SBD;Single-ply;;Open;90.9;100;;;;;190.0;;;;;105.0;;;;;270.0;565.0;3;358.89;358.89
84;2895;E. Billings;M;B;Raw;;Open;100;100;;;;;;;;;;165.56;;;;;;165.56;2;100.76;100.76
4599;74998;E. Brevik;M;SBD;Single-ply;;Junior 19-23;63.10;67.5;95;105;110;;110.0;70;75;-80;;75.0;110;120;135;;135.0;320;2;260.97;260.97
494;18851;E. Brost;M;SBD;Single-ply;;Open;125;125;;;;;335;;;;;237.5;;;;;310;882.5;1;502.89;502.89
522;18851;E. Brost;M;SBD;Single-ply;;Open;;140+;;;;;300;;;;;230;;;;;325;855;1;;
3141;61881;E. Brown;M;SBD;Single-ply;;Masters 2;60;60;;;;;170;;;;;115;;;;;190;475;1;405.12;405.12
12646;186237;E. Burkett;M;SBD;Single-ply;;Open;90;90;;;;;294.84;;;;;181.44;;;;;281.23;757.5;2;483.58;483.58
3157;62524;E. Buys;M;SBD;Single-ply;;Juniors;82.5;82.5;;;;;250;;;;;140;;;;;260;650;6;435.44;435.44
3764;68270;E. Caesar;M;SBD;Single-ply;;Open;100;100;;;;;237.5;;;;;142.5;;;;;250;630;3;383.41;383.41
11523;164822;E. Chin;M;SBD;Single-ply;;;75;75;;;;;175;;;;;142.5;;;;;210;527.5;12;375.88;375.88
11523;164744;E. Crapo;F;SBD;Single-ply;;;44;44;;;;;107.5;;;;;55;;;;;107.5;270;1;380.18;380.18
