MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2656;42011;G Admiraal;M;SBD;Single-ply;;Open;110;110;;;;;270;;;;;180;;;;;300;750;9;441.37;441.37
205;8868;G Ambili;F;SBD;Single-ply;20.5;Juniors;93.35;90+;165;185;200;;200;60;70;72.5;;72.5;170;202.5;210;;210;482.5;1;410.97;410.97
11577;166017;G Brink;M;B;Single-ply;51;Master 50-54;142.43;140+;;;;;;;;;;;;;;;;;DQ;;
3163;62821;G Burgess;M;SBD;Single-ply;;Open;125;125;-310;310;-320;;310;180;-190;-190;;180;-300;300;-340;;300;790;5;450.18;450.18
11626;167025;G Butler;M;B;Single-ply;22;Junior 20-23;97.07;100;;;;;;;;;;172.5;;;;;;172.5;1;106.28;107.35
748;20098;G Compton;M;SBD;Single-ply;;Open;67.5;67.5;;;;;97.5;;;;;80.0;;;;;132.5;310.0;1;239.01;239.01
10157;130068;G Davis;M;SBD;Single-ply;;Boys;82.1;82.5;;;;;;;;;;;;;;;;;DQ;;
2659;42126;G Garette;M;SBD;Single-ply;;Open;74.4;75;;;;;195;;;;;147.5;;;;;220;;DD;;
323;15459;G Joshi;M;SBD;Single-ply;;M2;70.6;75;80;90;-105;;90;60;65;-67.5;;65;90;110;-115;;110;265;1;197.30;197.30
203;8647;G Kadzhiev;M;SBD;Single-ply;46.5;Masters 1;74.3;75;220;230;-235;;230;130;140;145;;145;215;225;230;;230;605;1;433.94;433.94
203;8674;G Lybakin;M;SBD;Single-ply;43.5;Masters 1;83.5;90;190;200;210;;210;140;145;-147.5;;145;180;200;210;;210;565;2;375.80;375.80
