MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2525;37155;O Dziewiczkiewicz;F;SBD;Single-ply;22.5;Juniors;75.6;82.5;;;;;170;;;;;95;;;;;180;445;3;420.94;420.94
2681;37155;O Dziewiczkiewicz;F;SBD;Single-ply;17.5;Juniors;70.5;75;120;130;135;;135;65;70;-72.5;;70;130;-140;-150;;130;335;5;331.65;331.65
11095;153624;O Porro Chan;M;SBD;Raw;24.5;R-O;80.9;83;132.5;142.5;147.5;;147.5;80;85;-87.5;;85;157.5;167.5;-177.5;;167.5;400;10;271.18;271.18
11626;167024;O Roussell;M;B;Single-ply;21;Junior 20-23;166.47;140+;;;;;;;;;;197.5;;;;;;197.5;1;107.62;109.78
11626;167024;O Roussell;M;D;Single-ply;21;Junior 20-23;166.47;140+;;;;;;;;;;;;;;;250;250;1;136.23;138.96
11577;166023;O Walker;M;B;Single-ply;38;Submaster;141.97;140+;;;;;;;;;;207.29;;;;;;207.29;1;115.60;115.60
3176;63385;O. Acron;M;SBD;Single-ply;;Masters 2;82.5;82.5;;;;;170;;;;;105;;;;;190;465;7;311.51;311.51
11513;164060;O. Araujo;M;SBD;Single-ply;;Varsity;88;90;;;;;230;;;;;125;;;;;212.5;567.5;7;366.55;366.55
5500;76480;O. Bjelland;M;S;Single-ply;;Open;90.00;90;;;;;170;;;;;;;;;;;;DQ;;
3131;61498;O. Dalsheim;M;SBD;Single-ply;;Open;60;60;;;;;160;;;;;102.5;;;;;175;437.5;6;373.13;373.13
3150;62239;O. Dutta;M;SBD;Single-ply;22.5;Juniors;100.5;110;;;;;250;;;;;135;;;;;225;610;4;370.50;370.50
3154;62239;O. Dutta;M;SBD;Single-ply;23.5;Juniors;110;110;;;;;255;;;;;140;;;;;230;625;3;367.81;367.81
3765;68316;O. Garcia;M;SBD;Single-ply;;Open;53.6;56;;;;;125;;;;;70;;;;;170;365;1;347.13;347.13
9860;68316;O. Garcia;M;SBD;Single-ply;;Boys;66.77;67.5;;;;;127.01;;;;;83.91;;;;;149.69;360.61;10;280.48;280.48
11514;164160;O. Guzman;M;SBD;Single-ply;;50-54;96.1;100;;;;;207.5;;;;;132.5;;;;;205;545;3;337.27;337.27
3158;62560;O. Lomba;M;SBD;Single-ply;;Masters 1;100;100;;;;;305;;;;;202.5;;;;;307.5;815;1;496.00;496.00
3169;63055;O. Lomholt;M;SBD;Single-ply;;Masters 2;75;75;;;;;165;;;;;95;;;;;200;460;5;327.78;327.78
11499;162654;O. Rogers;M;SBD;Single-ply;;Jr/Sr;100;100;;;;;;;;;;;;;;;;;DQ;;
3140;61843;O. Ronny;M;SBD;Single-ply;;Open;71.9;75;;;;;217.5;;;;;127.5;;;;;200;545;10;400.28;400.28
3141;61871;O. Vinje;M;SBD;Single-ply;;Masters 1;90;90;;;;;215;;;;;140;;;;;240;595;5;379.84;379.84
2651;41788;O'Connell;M;SBD;Single-ply;;Open;109.2;110;162.5;172.5;190;;190;115;125;132.5;;132.5;220;230;245;;245;567.5;5;334.73;334.73
6940;81271;O'Connor Leon;M;B;Raw;41.5;Masters 1;111.9;120;;;;;;175;-185;-185;;175;;;;;;175;2;102.46;102.46
6940;81228;O'Connor Liam;M;B;Raw;15.5;Subjuniors;74;74;;;;;;92.5;-95;95;;95;;;;;;95;2;68.33;68.33
11620;166940;O'Neil Roussell;M;B;Single-ply;20;20-23 Junior;165.02;140+;;;;;;;;;;182.5;;;;;;182.5;2;99.58;102.57
11621;166940;O'Neil Roussell;M;BD;Single-ply;20;Junior 19-23;166.38;140+;;;;;;;;;;192.5;;;;;197.5;389.99;2;212.54;218.91
11625;166940;O'Neil Roussell;M;B;Single-ply;20;Junior Men 20-23;168.28;140+;;;;;;;;;;197.50;;;;;;197.50;1;107.44;110.67
11625;166940;O'Neil Roussell;M;D;Single-ply;20;Junior Men 20-23;168.28;140+;;;;;;;;;;;;;;;227.50;227.50;3;123.76;127.48
11627;166940;O'Neil Roussell;M;SBD;Single-ply;21;Junior Men;162.48;140+;;;;;230.00;;;;;187.50;;;;;245.00;662.49;1;362.35;369.60
11635;166940;O'Neil Roussell;M;;Single-ply;21;Junior Men 19-23;162.75;140+;;;;;237.50;;;;;192.50;;;;;255.00;684.99;1;374.57;382.06
11640;166940;O'Neil Roussell;M;SBD;Single-ply;22;Open;160.3;140+;;;;;292.5;;;;;222.5;;;;;232.5;747.49;1;409.67;413.76
11643;166940;O'Neil Roussell;M;SBD;Single-ply;;Junior Men 20-23;;140+;;;;;295.00;;;;;230.00;;;;;260.00;784.99;1;;
11643;166940;O'Neil Roussell;M;B;Single-ply;;Junior Men 20-23;;140+;;;;;;;;;;230.00;;;;;;230.00;1;;
11648;166940;O'Neil Roussell;M;SBD;Single-ply;22;Junior Men 20-23;168.46;140+;;;;;322.50;;;;;212.50;;;;;265.00;799.99;1;435.13;439.48
11826;166940;O'Neil Roussell;M;;Raw;28;Open Men;168.46;140+;;;;;272.50;;;;;197.50;;;;;277.50;747.50;2;406.58;406.58
11886;166940;O'Neil Roussell;M;;Raw;28;Open Men;162.75;140+;;;;;275.00;;;;;200.00;;;;;275.00;750.00;1;410.12;410.12
11898;166940;O'Neil Roussell;M;;Raw;28;Open;165.33;140+;;;;;300;;;;;195;;;;;272.5;767.5;2;418.68;418.68
9800;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;95.53;100;;;;;181.44;;;;;108.86;;;;;183.7;474;7;294.11;294.11
9968;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;96.25;100;;;;;188.24;;;;;117.93;;;;;204.12;510.29;3;315.57;315.57
9996;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;96.43;100;;;;;199.58;;;;;129.27;;;;;222.26;551.11;9;340.54;340.54
10031;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;107.23;110;;;;;229.06;;;;;131.54;;;;;231.33;591.94;2;351.19;351.19
10213;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;108.23;110;;;;;222.26;;;;;136.08;;;;;249.48;607.81;3;359.52;359.52
10334;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;108.68;110;;;;;249.48;;;;;145.15;;;;;258.55;653.17;2;385.84;385.84
10343;122068;O'Ryan Farley;M;SBD;Single-ply;;Boys;108.23;110;;;;;231.33;;;;;136.08;;;;;249.48;616.89;22;364.89;364.89
12789;194026;O'Sullivan David;M;SBD;Raw;26;Pro Open;89.7;90;215;230;240;;240;150;-165;165;;165;300;-315;-315;;300;705;1;450.84;450.84
