MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
30;1218;Q. Guzman;M;SBD;Single-ply;;;75;75;280;-297.5;-297.5;;280;150;-165;-165;;150;245;255;-260;;255;685;3;488.10;488.10
11165;155186;Qadir Scudder;M;SBD;Raw;;R-O;99.2;100;;;;;137.5;;;;;95;;;;;220;452.5;;276.28;276.28
11005;149394;Qadir Yuseff;M;SBD;Raw;;R-M2a;98.9;105;147.5;-160;-165;;147.5;-145;-160;-160;;;152.5;170;190;;190;;DQ;;
11080;149394;Qadir Yuseff;M;SBD;Raw;;R-M2a;97.5;105;;;;;127.5;;;;;145;;;;;182.5;455;2;279.82;279.82
11080;149394;Qadir Yuseff;M;SBD;Raw;;R-M2a;97.5;105;;;;;127.5;;;;;145;;;;;182.5;455;3;279.82;279.82
204;8744;Qadri Laiq Mujahid;M;B;Single-ply;19.5;Juniors;76.5;82.5;;;;;;60;80;-90;;80;;;;;;80;3;56.24;56.24
213;10148;Qais Al Hasni;M;SBD;Single-ply;20.5;Juniors;104;105;;;;;210;;;;;100;;;;;205;515;6;308.79;308.79
215;10148;Qais Al Hasni;M;SBD;Single-ply;21.5;Juniors;108.03;120;205;-212.5;-212.5;;205;105;-115;120;;120;170;190;200;;200;525;3;310.72;310.72
216;10148;Qais Al Hasni;M;SBD;Single-ply;22.5;Juniors;106.12;120;-235;-235;235;;235;130;135;140;;140;-190;190;-222.5;;190;565;3;336.38;336.38
218;10148;Qais Al Hasni;M;B;Single-ply;22.5;Juniors;109.70;120;;;;;;125.0;-140.0;145.0;;145.0;;;;;;145.0;2;85.40;85.40
220;10861;Qais Hamood Alhasni;M;SBD;Single-ply;24.5;Open;110.62;120;;;;;255;;;;;180;;;;;240;675;7;396.56;396.56
301;14206;Qarin Lokman;M;SBD;Raw;;M-BL;72.85;74;180;190;197.5;;197.5;115;120;125;;125;225;237.5;250;;250;572.5;3;416.46;416.46
3025;56843;QArt Harutyunyan;M;SBD;Single-ply;20.5;Juniors;96;100;;;;;270;;;;;;;;;;;;DQ;;
293;13859;Qasim Iqbal;M;SBD;Raw;;;73.1;74;182.5;195;205;;205;97.5;102.5;105;;105;202.5;217.5;-222.5;;217.5;527.5;8;382.77;382.77
2506;13859;Qasim Iqbal;M;SBD;Raw;;M-C-Senior;73.05;74;195;-207.5;-207.5;;195;102.5;110;115;;115;210;220;-227.5;;220;530;6;384.78;384.78
39;1572;Qautse David;M;SBD;Single-ply;;;71.4;75;;;;;185;;;;;75;;;;;210;470;5;346.99;346.99
7477;85710;Qi Feng;M;B;Raw;18.5;Juniors;50.95;52;;;;;;162.5;165;167.5;;167.5;;;;;;167.5;2;167.95;167.95
7478;85710;Qi Feng;M;B;Raw;20.5;;51.93;52;;;;;;169;175;176;;176;;;;;;176;1;172.95;172.95
221;10946;Qi Thor Qian;F;SBD;Raw;17.5;Sub-Juniors;51.7;52;110;115;-120;;115;52.5;-57.5;57.5;;57.5;110;115;-133;;115;287.5;1;360.01;360.01
12071;175716;Qiana Jurado;F;;Wraps;16;Open;55.2;56;;;;;92.5;;;;;45;;;;;92.5;230;1;273.69;309.27
12277;175716;Qiana Jurado;F;SBD;Wraps;17;Junior 16-17;58.9;60;;;;;105;;;;;62.5;;;;;102.5;270;1;305.38;329.81
12277;175716;Qiana Jurado;F;SBD;Wraps;17;Open;58.9;60;;;;;105;;;;;62.5;;;;;102.5;270;1;305.38;329.81
7993;101313;Qianna Salazer;F;SBD;Wraps;;Teenage 16-17;55.52;56;;;;;84.82;;;;;44.91;;;;;102.06;231.79;1;274.57;274.57
11803;169972;Qin Yi Wang;M;;Single-ply;17;Junior Men 16-17;70.03;75;;;;;135;;;;;80;;;;;120;335;2;250.96;271.04
11304;157899;Qingyang Peng;M;SBD;Raw;23.5;R-O;88.2;93;100;125;150;;150.0;100;115;122.5;;122.5;142.5;165;192.5;;192.5;465;2;299.98;299.98
