MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2811;49685;U Kern Wen;M;SBD;Wraps;;;75.05;82.5;185;197.5;-205;;197.5;100;110;-117.5;;110;230;240;245;;245;552.5;2;393.51;393.51
3194;64231;U Shinde;M;B;Single-ply;31.5;Open;102.5;110;;;;;;;;;;170;;;;;;170;15;102.48;102.48
208;9302;U. Dilmurotov;M;SBD;Single-ply;17.5;Sub-Juniors;57.55;60;135;147.5;-155;;147.5;80;90;92.5;;92.5;145;-157.5;-157.5;;145;385;3;341.37;341.37
3146;62057;U. Ghosh;M;SBD;Single-ply;;Juniors;82.5;82.5;;;;;215;;;;;100;;;;;225;540;5;361.75;361.75
3764;68277;U. Gill;M;SBD;Single-ply;;Open;75;75;;;;;237.5;;;;;120;;;;;232.5;590;G;420.41;420.41
3765;68310;U. Kruger;F;SBD;Single-ply;;Open;73.1;75;;;;;152.5;;;;;82.5;;;;;175;410;1;396.20;396.20
201;8414;U. Kulkarni Deepali;F;B;Single-ply;;Open;80.75;82.5;;;;;;60;65;67.5;;67.5;;;;;;67.5;2;61.45;61.45
3140;61844;U. Kumar;M;SBD;Single-ply;;Open;73.8;75;;;;;225;;;;;;;;;;;;DQ;;
3144;61844;U. Kumar;M;SBD;Single-ply;;Open;67.2;67.5;;;;;200;;;;;135;;;;;227.5;562.5;11;435.25;435.25
325;15555;U. Laxman;M;SBD;Single-ply;;Master 1;59.3;60;;;;;170;;;;;102.5;;;;;180;452.5;1;390.11;390.11
210;9661;U.P. Singh;M;SBD;Single-ply;49;Masters 1;69.55;75;135;-150;-150;;135;-80;80;85;;85;130;145;155;;155;375;4;282.42;314.33
10164;130181;Ubaldo Tarango;M;SBD;Single-ply;;Boys;101.6;110;;;;;170.1;;;;;95.25;;;;;172.37;437.72;7;264.74;264.74
10215;130181;Ubaldo Tarango;M;SBD;Single-ply;;Boys;101.7;110;;;;;181.44;;;;;102.06;;;;;174.63;458.13;7;276.98;276.98
10262;130181;Ubaldo Tarango;M;SBD;Single-ply;;Boys;98.16;100;;;;;176.9;;;;;106.59;;;;;176.9;460.4;4;282.33;282.33
10560;137396;Uche Megwalu;M;SBD;Raw;36;M-RO;81.1;83;142.5;157.5;167.5;;167.5;95;105;-110;;105;187.5;202.5;210;;210;482.5;6;326.61;326.61
7567;88423;Uchechukwu Megwalu;M;SBD;Raw;;Amateur Open;80.92;82.5;;;;;165.56;;;;;108.86;;;;;215.46;489.88;1;332.06;332.06
212;10093;Uday Kumar;M;SBD;Single-ply;25.5;Open;117;120;340;-355;355;;355;180;190;192.5;;192.5;270;-310;-310;;270;817.5;3;472.89;472.89
218;10093;Uday Kumar;M;B;Single-ply;40.5;Masters 1;89.30;93;;;;;;125.0;135.0;145.0;;145.0;;;;;;145.0;2;92.94;92.94
205;8871;Udayashankar P.;M;SBD;Single-ply;21.5;Juniors;51.7;52;150;160;170;;170;85;95;100;;100;190;205;-220;;205;;DQ;;
2468;35270;Udayd Ahmed;M;SBD;Raw;;M-C-JR;88.9;93;175;185;190;;190;97.5;102.5;105;;105;-190;197.5;207.5;;207.5;502.5;2;322.83;322.83
220;10864;Udaysing Amit;M;SBD;Single-ply;26.5;Open;129.5;120+;;;;;325;;;;;190;;;;;282.5;797.5;5;451.38;451.38
10522;135724;Udena Weeraskera;M;SBD;Raw;;R-JR;88.8;90;;;;;150;;;;;125;;;;;205;480;2;308.56;308.56
205;8860;Udha Yan Athi;F;SBD;Single-ply;14.5;Sub-Juniors;77.85;82.5;-115;115;125;;125;-30;30;40;;40;105;115;125;;125;290;2;269.52;269.52
12925;201553;Udi Iluz;M;D;Raw;23;MJ;73.3;75;;;;;;;;;;;150;160;170;;170;170;2;123.12;123.12
12925;201553;Udi Iluz;M;B;Raw;23;MJ;73.3;75;;;;;;-80;80;90;;90;;;;;;90;1;65.18;65.18
2600;39942;Udo Bauer;M;SBD;Single-ply;47.5;Masters 1;73.15;74;205;212.5;217.5;;217.5;115;117.5;120;;120;252.5;260;265;;265;602.5;4;436.98;436.98
2629;39942;Udo Bauer;M;SBD;Single-ply;50.5;Masters 2;73.05;74;205;212.5;217.5;;217.5;112.5;115;117.5;;117.5;250;257.5;260;;260;595;1;431.97;431.97
3103;39942;Udo Bauer;M;SBD;Raw;49.5;Masters 2;73.04;74;165;172.5;177.5;;177.5;95;100;102.5;;102.5;241;248.5;256;;256;536;2;389.17;389.17
2678;43013;Udo Ciavatella;M;B;Single-ply;38.5;Open;106.2;110;;;;;;-190;190;-200;;190;;;;;;190;6;113.09;113.09
2659;42123;Udo Krüger;M;SBD;Single-ply;;Open;74.7;75;;;;;230;;;;;162.5;;;;;260;652.5;7;466.25;466.25
2581;39293;Udo Thielking;M;B;Single-ply;48.5;Masters 1;123.85;125;;;;;;230;-232.5;-240;;230;;;;;;230;7;131.31;131.31
2626;39293;Udo Thielking;M;B;Single-ply;54.5;Masters 2;130.99;120+;;;;;;-215;217.5;-220;;217.5;;;;;;217.5;5;122.85;122.85
2642;39293;Udo Thielking;M;SBD;Single-ply;55.5;Masters 2;132.2;120+;180;205;215;;215;160;-210;-210;;160;210;220;230;;230;605;3;341.18;341.18
2648;39293;Udo Thielking;M;SBD;Raw;56.5;Masters 2;130.1;120+;185;-200;205;;205.0;160;170;-172.5;;170.0;220;240;-252.5;;240.0;615;5;347.79;347.79
3108;39293;Udo Thielking;M;B;Single-ply;54.5;Masters 2;134.01;120+;;;;;;-235;235;-240;;235;;;;;;235;5;132.22;132.22
3114;39293;Udo Thielking;M;SBD;Raw;55.5;Masters 2;129.84;120+;180;190;200;;200;155;165;-170;;165;200;220;-235;;220;585;5;330.95;330.95
3118;39293;Udo Thielking;M;;Single-ply;55.5;Masters 2;132.3;120+;-205;205;210;;210.0;200;210;-215;;210.0;215;230;240;;240.0;660;3;372.15;372.15
3763;68258;Ufford;M;SBD;Single-ply;;Open;125;125;;;;;287.5;;;;;217.5;;;;;330;835;1;475.82;475.82
2790;48039;Ufimtseva Tamara;F;SBD;Single-ply;32.5;Open;51.1;52;;;;;190;;;;;95;;;;;145;;DD;;
2080;31938;Ufuk Dogan;M;SBD;Single-ply;24.5;Open;82.50;82.5;;;;;130.0;;;;;105.0;;;;;185.0;420.0;2;281.36;281.36
2571;38943;Ugis Smirnovs;M;B;Single-ply;23.5;Open;80.5;82.5;;;;;;-217.5;-222.5;222.5;;222.5;;;;;;222.5;4;151.31;151.31
