MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
3124;61246;W Boegedahl Kamilla;F;B;Raw;22.5;Juniors;62.92;63;;;;;;100;105;-112.5;;105.0;;;;;;105;1;112.87;112.87
223;11139;W H Tang;M;SBD;Single-ply;;Open;67.5;67.5;;;;;200;;;;;147.5;;;;;242.5;590;3;454.90;454.90
312;14960;W J Ashton;M;SBD;Raw;65;M_M6_R_ABPU;80.7;82.5;110;120;125;;125;80;90;-92.5;;90;170;-175;;;170;385;1;261.41;386.89
2676;42905;W-Pet Springstein;M;SBD;Single-ply;44.5;Masters 1;86.6;90;;;;;230;;;140;;140;;;220;;220;590;12;384.40;384.40
12646;186261;W. Andrews;M;SBD;Single-ply;;Open;;125+;;;;;303.91;;;;;167.83;;;;;317.51;789.25;1;;
11491;162020;W. Angel;M;SBD;Single-ply;;;125;125;;;;;282.5;;;;;175;;;;;285;742.5;15;423.11;423.11
12646;186257;W. Armstrong;M;SBD;Single-ply;;Open;110;110;;;;;217.72;;;;;140.61;;;;;231.33;589.66;7;347.01;347.01
3764;68290;W. Baker;M;SBD;Single-ply;;Juniors;;125+;;;;;160;;;;;195;;;;;227.5;582.5;1;;
6904;80557;W. Booth;M;B;Single-ply;;Open;80.3;82.5;;;;;;;;;;135;;;;;;135;2;91.95;91.95
12648;186351;W. Bridges;M;SBD;Single-ply;;Masters 40+;67.5;67.5;;;;;187.5;;;;;107.5;;;;;227.5;522.5;2;402.86;402.86
30;1267;W. Buckley;M;SBD;Single-ply;;;125;125;272.5;-295;-302.5;;272.5;-227.5;-227.5;227.5;;227.5;250;-275;-282.5;;250;750;9;427.38;427.38
12646;186249;W. Buckwater;M;SBD;Single-ply;;Open;100;100;;;;;260.82;;;;;147.42;;;;;294.84;703.08;7;427.89;427.89
3141;61859;W. Burr;M;SBD;Single-ply;;Masters 1;52;52;;;;;120;;;;;67.5;;;;;152.5;340;1;333.63;333.63
11514;164144;W. Callihan;M;SBD;Single-ply;;60-64;81.2;82.5;;;;;140;;;;;115;;;;;197.5;452.5;1;306.07;306.07
3138;61774;W. Chapoton;M;SBD;Single-ply;42.5;Masters 1;109.6;110;;;;;;;;;;;;;;;;;DQ;;
190;7946;W. Coombs;M;SBD;Single-ply;;Open;67.5;67.5;;;;;161.03;;;;;95.25;;;;;197.31;453.59;3;349.73;349.73
11499;162688;W. Daigre;M;SBD;Single-ply;;Fr/Soph;56;56;;;;;112.5;;;;;72.5;;;;;115;300;6;273.10;273.10
11513;163953;W. Diagre;M;SBD;Single-ply;;Varsity;59.2;60;;;;;165;;;;;85;;;;;167.5;417.5;6;360.50;360.50
3148;62111;W. Forsey;M;SBD;Single-ply;;Open;82.5;82.5;;;;;237.5;;;;;145;;;;;275;657.5;8;440.46;440.46
3765;62111;W. Forsey;M;SBD;Single-ply;;Open;81.9;82.5;;;;;245;;;;;172.5;;;;;277.5;695;1;467.64;467.64
11491;162022;W. Gillingham;M;SBD;Single-ply;;;145;145;;;;;292.5;;;;;207.5;;;;;305;805;3;447.54;447.54
3176;63365;W. Harrison;M;SBD;Single-ply;;Masters 1;100;100;;;;;195;;;;;140;;;;;245;580;7;352.98;352.98
11510;163641;W. Isaac Thomas;M;B;Single-ply;;Open;110;110;;;;;;-202.5;-210;210;;210;;;;;;210;6;123.58;123.58
11510;163641;W. Isaac Thomas;M;B;Single-ply;;Lifetime;110;110;;;;;;-202.5;-210;210;;210;;;;;;210;3;123.58;123.58
30;1198;W. Jackson;M;SBD;Single-ply;;;52;52;135;142.5;-152.5;;142.5;75;80;-82.5;;80;182.5;-195;195;;195;417.5;1;409.68;409.68
308;14720;W. John Ashton;M;SBD;Raw;64;M_MR_5_ABPU;81.6;82.5;90;100;110;;110;75;85;87.5;;87.5;150;170;180;;180;377.5;1;254.57;369.13
11500;162774;W. Kellet;M;SBD;Single-ply;;40-44;90;90;;;;;152.5;;;;;135;;;;;190;477.5;5;304.83;304.83
11507;163488;W. Kellett;M;SBD;Single-ply;;40-44;90;90;;;;;155;;;;;135;;;;;192.5;482.5;6;308.03;308.03
11514;163488;W. Kellett;M;SBD;Single-ply;;40-44;84.5;90;;;;;165;;;;;127.5;;;;;200;492.5;4;325.33;325.33
11513;163929;W. Keyne;M;SBD;Single-ply;;Varsity;55.4;56;;;;;180;;;;;80;;;;;192.5;452.5;1;416.32;416.32
12671;187870;W. Ladd;M;SBD;Single-ply;;Masters 6;90;90;;;;;205;;;;;115;;;;;240;560;2;357.50;357.50
3146;62055;W. Lamp;M;SBD;Single-ply;;Juniors;82.5;82.5;;;;;270;;;;;162.5;;;;;262.5;695;3;465.59;465.59
11500;162773;W. Lavalier;M;SBD;Single-ply;;40-44;90;90;;;;;200;;;;;155;;;;;230;585;4;373.46;373.46
3149;62141;W. Limerick;M;SBD;Single-ply;;Masters 1;90;90;;;;;252.5;;;;;145.0;;;;;295.0;692.5;4;442.09;442.09
