MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
0;1;Angie Belk Terry;F;SBD;Wraps;47;Mst 45-49;59.6;60;38.56;47.63;-54.43;;47.63;15.88;20.41;-24.95;;20.41;61.23;70.31;-77.11;;70.31;138.35;1;155.05;167.76
0;2;Dawn Bogart;F;SBD;Single-ply;42;Mst 40-44;58.51;60;120.2;136.08;142.88;;142.88;88.45;95.25;-97.52;;95.25;136.08;149.69;163.29;;163.29;401.42;1;456.38;465.50
0;2;Dawn Bogart;F;SBD;Single-ply;42;Open Senior;58.51;60;120.2;136.08;142.88;;142.88;88.45;95.25;-97.52;;95.25;136.08;149.69;163.29;;163.29;401.42;1;456.38;465.50
0;2;Dawn Bogart;F;B;Raw;42;Open Senior;58.51;60;;;;;;88.45;95.25;-97.52;;95.25;;;;;;95.25;1;108.29;110.46
0;3;Destiny Dula;F;BD;Raw;18;Teen 18-19;63.68;67.5;;;;;;29.48;31.75;-34.02;;31.75;90.72;-97.52;;;90.72;122.47;1;130.47;138.29
0;4;Courtney Norris;F;SBD;Wraps;28;Open Senior;62.41;67.5;145.15;158.76;170.1;-183.7;170.1;77.11;-86.18;-86.18;;77.11;129.27;145.15;-161.03;;145.15;392.36;1;424.40;424.40
0;5;Maureen Clary;F;SBD;Raw;60;Mst 60-64;67.31;67.5;124.74;-138.35;-145.15;;124.74;95.25;-104.33;-104.33;;95.25;136.08;151.95;163.29;;163.29;383.28;1;391.98;525.25
0;5;Maureen Clary;F;SBD;Raw;60;Open Senior;67.31;67.5;124.74;-138.35;-145.15;;124.74;95.25;-104.33;-104.33;;95.25;136.08;151.95;163.29;;163.29;383.28;1;391.98;525.25
0;6;Priscilla Sweat Pardue;F;SBD;Wraps;52;50-54;65.95;67.5;102.06;111.13;120.2;;120.2;36.29;45.36;54.43;;54.43;97.52;108.86;-115.67;;108.86;283.49;1;294.25;342.80
0;6;Priscilla Sweat Pardue;F;D;Raw;52;Senior;65.95;67.5;;;;;;;;;;;97.52;108.86;-115.67;;108.86;108.86;1;112.99;131.63
